timestamp,ip,url,method,status,response_time,user_agent
2024-01-01 15:46:35,219.146.28.245,/admin,PUT,502,575,curl/7.68.0
2024-01-01 13:24:20,194.123.186.204,/logout,OPTIONS,403,669,python-requests/2.31
2024-01-01 07:14:01,199.71.34.114,/logout,PATCH,500,629,python-requests/2.31
2024/01/01 09:51:44,183.81.101.247,/admin,PATCH,500,1442,
2024-01-01 23:27:30,103.168.141.75,/profile,PATCH,201,862,
2024/01/01 00:03:16,124.62.166.71,/config,PUT,201,1079,
2024/01/01 19:48:54,65.5.129.172,/search?q=test,POST,403,749,
2024-01-01 13:21:35,196.245.255.184,/api/data,PUT,400,756,Mozilla/5.0
2024-01-01 14:22:26,242.154.76.117,/home,PATCH,301,1499,curl/7.68.0
2024-01-01 07:47:33,119.58.84.120,/logout,POST,404,708,python-requests/2.31
2024/01/01 01:08:33,83.219.22.250,/weird☃path,OPTIONS,500,108,python-requests/2.31
2024-01-01 03:58:39,226.6.101.91,/logout,DELETE,201,175,python-requests/2.31
2024/01/01 23:30:17,215.236.23.144,/home,GET,500,447,curl/7.68.0
2024-01-01 04:33:31,115.241.171.76,/profile,POST,301,790,Mozilla/4.0
2024-01-01 00:07:12,191.213.49.7,/admin,POST,401,1436,curl/7.68.0
2024-01-01 12:18:09,186.32.218.94,/Login,OPTIONS,502,1375,Mozilla/4.0
2024/01/01 23:42:29,97.147.175.216,/profile,PATCH,400,800,Mozilla/4.0
2024/01/01 06:03:06,246.128.20.196,/home,OPTIONS,302,659,curl/7.68.0
2024/01/01 09:39:18,213.165.252.164,/logout,GET,401,387,Go-http-client/1.1
2024/01/01 19:09:13,169.232.101.30,/admin,GET,302,294,
2024/01/01 23:30:35,138.124.234.61,/LOGIN,PUT,FAILED,955,
2024-01-01 08:28:50,237.178.169.149,/logout,PATCH,200,1099,Mozilla/4.0
2024-01-01 18:20:24,142.137.9.54,/LOGIN,PATCH,500,1656,curl/7.68.0
2024-01-01 17:49:36,134.15.34.178,/settings,DELETE,502,537,Mozilla/4.0
2024/01/01 16:28:01,65.51.84.55,/search?q=test,GET,403,1070,
2024/01/01 19:23:17,109.25.74.254,/login,GET,200,1801,Mozilla/4.0
2024/01/01 21:37:46,95.45.1.80,/settings,POST,400,947,curl/7.68.0
